UNITID,OPEID,INSTNM,CITY,Year,UGDS,MAIN,NUMBRANCH,HIGHDEG,REGION,LOCALE,LOCALE2,CCSIZSET,PCTPELL,AVGFACSAL,PFTFAC,PRGMOFR,BOOKSUPPLY,ROOMBOARD_ON,ROOMBOARD_OFF,OTHEREXPENSE_ON,OTHEREXPENSE_OFF,ADMCON7,MDCOST_ALL,MDEARN_ALL,UGDS_WOMEN,UGDS_MEN,ADM_RATE,SAT_AVG,ACTCMMID,RET_FT4,C150_4,MD_EARN_WNE_P10,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,OPENADMP,won,lost,tied,notes,win_percentage
201885,00312500,University of Cincinnati-Main Campus,Cincinnati,1996,19898.0,1,3,4,3,,,,,6541.0,,,,,,,,,,,0.4683,0.5317,,,,,,,,,,,,,,6.0,5.0,,,0.5454545454545454
202480,00312700,University of Dayton,Dayton,1996,6507.0,1,1,4,3,,,,,5892.0,,,,,,,,,,,0.5041,0.4959,,,,,,,,,,,,,,11.0,0.0,,(I-AA play not counted),1.0
203517,00305100,Kent State University at Kent,Kent,1996,15982.0,1,8,4,3,,,,,5977.0,,,,,,,,,,,0.5814,0.4186,,,,,,,,,,,,,,2.0,9.0,,,0.18181818181818182
204796,00309000,Ohio State University-Main Campus,Columbus,1996,35314.0,1,6,4,3,,,,,6942.0,,,,,,,,,,,0.4742,0.5258,,,,,,,,,,,,,,6.0,5.0,,,0.5454545454545454
204796,00309000,Ohio State University-Main Campus,Columbus,1996,35314.0,1,6,4,3,,,,,6942.0,,,,,,,,,,,0.4742,0.5258,,,,,,,,,,,,,,11.0,1.0,,,0.9166666666666666
204857,00310000,Ohio University-Main Campus,Athens,1996,16334.0,1,6,4,3,,,,,6237.0,,,,,,,,,,,0.5406,0.4594,,,,,,,,,,,,,,6.0,6.0,,,0.5
206084,00313100,University of Toledo,Toledo,1996,17482.0,1,1,4,3,,,,,6069.0,,,,,,,,,,,0.5322,0.4678,,,,,,,,,,,,,1.0,7.0,4.0,,,0.6363636363636364
207388,00317000,Oklahoma State University-Main Campus,Stillwater,1996,14588.0,1,1,4,6,,,,,5856.0,,,,,,,,,,,0.4613,0.5387,,,,,,,,,,,,,,5.0,6.0,,,0.45454545454545453
207500,00318400,University of Oklahoma-Norman Campus,Norman,1996,15664.0,1,1,4,6,,,,,5671.0,,,,,,,,,,,0.4535,0.5465,,,,,,,,,,,,,,3.0,8.0,,,0.2727272727272727
207971,00318500,University of Tulsa,Tulsa,1996,2896.0,1,1,4,6,,,,,5603.0,,,,,,,,,,,0.5249,0.4751,,,,,,,,,,,,,,4.0,7.0,,,0.36363636363636365
209542,00321000,Oregon State University,Corvallis,1996,10985.0,1,1,4,8,,,,,5361.0,,,,,,,,,,,0.451,0.549,,,,,,,,,,,,,,6.0,5.0,,,0.5454545454545454
209542,00321000,Oregon State University,Corvallis,1996,10985.0,1,1,4,8,,,,,5361.0,,,,,,,,,,,0.451,0.549,,,,,,,,,,,,,,2.0,9.0,,,0.18181818181818182
211291,00323800,Bucknell University,Lewisburg,1996,3346.0,1,1,4,2,,,,,6503.0,,,,,,,,,,,0.4979,0.5021,,,,,,,,,,,,,,6.0,5.0,,(I-AA play not counted),0.5454545454545454
212106,00325800,Duquesne University,Pittsburgh,1996,5507.0,1,1,4,2,,,,,5675.0,,,,,,,,,,,0.5655,0.4345,,,,,,,,,,,,,,10.0,1.0,,(I-AA play not counted),0.9090909090909091
215062,00337800,University of Pennsylvania,Philadelphia,1996,11508.0,1,1,4,2,,,,,9341.0,,,,,,,,,,,0.5023,0.4977,,,,,,,,,,,,,,5.0,5.0,,(I-AA play not counted),0.5
215293,00337900,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,1996,15260.0,1,1,4,2,,,,,6508.0,,,,,,,,,,,0.5252,0.4748,,,,,,,,,,,,,,4.0,7.0,,,0.36363636363636365
216339,00337100,Temple University,Philadelphia,1996,16506.0,1,1,4,2,,,,,7502.0,,,,,,,,,,,0.5643,0.4357,,,,,,,,,,,,,,1.0,10.0,,,0.09090909090909091
216597,00338800,Villanova University,Villanova,1996,6769.0,1,1,4,2,,,,,6737.0,,,,,,,,,,,0.5038,0.4962,,,,,,,,,,,,,,8.0,4.0,,(I-AA play not counted),0.6666666666666666
216667,00338900,Washington & Jefferson College,Washington,1996,1117.0,1,1,3,2,,,,,5722.0,,,,,,,,,,,0.4637,0.5363,,,,,,,,,,,,,,3.0,6.0,,(Div III play not counted),0.3333333333333333
216667,00338900,Washington & Jefferson College,Washington,1996,1117.0,1,1,3,2,,,,,5722.0,,,,,,,,,,,0.4637,0.5363,,,,,,,,,,,,,,9.0,3.0,,,0.75
216667,00338900,Washington & Jefferson College,Washington,1996,1117.0,1,1,3,2,,,,,5722.0,,,,,,,,,,,0.4637,0.5363,,,,,,,,,,,,,,7.0,3.0,,(Div III play not counted),0.7
216667,00338900,Washington & Jefferson College,Washington,1996,1117.0,1,1,3,2,,,,,5722.0,,,,,,,,,,,0.4637,0.5363,,,,,,,,,,,,,,8.0,2.0,,(Div III play not counted),0.8
216667,00338900,Washington & Jefferson College,Washington,1996,1117.0,1,1,3,2,,,,,5722.0,,,,,,,,,,,0.4637,0.5363,,,,,,,,,,,,,,5.0,5.0,,(Div III play not counted),0.5
217156,00340100,Brown University,Providence,1996,5729.0,1,1,4,1,,,,,7607.0,,,,,,,,,,,0.538,0.462,,,,,,,,,,,,,,5.0,5.0,,(I-AA play not counted),0.5
